Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
LPI,,,39.26,1.51,0.47,N/A,2.87,4.08,395.50M,127.09M,2.35B,17.11 - 27.91,"
</"
LPL,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,1.07,0.39,3.87B,715.63M,9.34B,8.41 - 16.80,"
</"
LPR,,,N/A,N/A,N/A,N/A,0.39,0.53,93.50M,85.14M,105.57M,0.91 - 7.80,"
</"
LPS,Miscellaneous,Business Services,44.85,0.93,0.536,1.66,3.74,0.98,274.10M,84.85M,2.05B,17.84 - 30.88,"
</"
LPX,Basic Industries,Forest Products,N/A,21.21,N/A,N/A,2.71,1.71,115.60M,138.35M,2.74B,7.66 - 21.60,"
</"
LRE,,,N/A,29.02,N/A,10.96,1.62,4.01,76.60M,22.45M,401.20M,12.25 - 21.62,"
</"
LRN,Consumer Services,Other Consumer Services,41.95,1.2,0.44,N/A,1.38,0.9,61.90M,35.95M,668.70M,15.83 - 26.40,"
</"
LRY,Consumer Services,Real Estate Investment Trusts,42.3,2.52,0.926,4.85,2.21,6.79,411.50M,118.24M,4.64B,32.83 - 39.47,"
</"
LSE,Consumer Services,Real Estate Investment Trusts,81.55,4.67,0.071,4.75,1.3,2.42,118.30M,66.77M,395.30M,3.85 - 5.80,"
</"
LSE-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.50 - 25.48,"
</"
LSE-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
LSE-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
LTC,Consumer Services,Real Estate Investment Trusts,23.83,3.51,1.563,4.83,2.67,12.37,81.90M,30.50M,1.14B,30.11 - 37.93,"
</"
LTD,Consumer Services,Clothing/Shoe/Accessory Stores,20.57,1.45,2.334,4.16,N/A,1.37,1.98B,288.38M,13.63B,40.32 - 52.50,"
</"
LTM,Consumer Services,Hotels/Resorts,19.64,1.11,2.583,N/A,1.98,1.91,313.70M,41.51M,1.63B,40.40 - 52.68,"
</"
LUB,Consumer Services,Restaurants,28.54,N/A,0.239,N/A,1.11,0.55,27.00M,28.19M,204.40M,4.71 - 7.48,"
</"
LUK,Basic Industries,Forest Products,12.07,N/A,2.109,0.98,1.01,0.88,902.70M,244.59M,6.19B,19.58 - 29.79,"
</"
LUV,Transportation,Air Freight/Delivery Services,20.02,0.41,0.56,0.31,1.18,0.48,1.65B,735.00M,8.25B,7.76 - 11.62,"
</"
LUX,Health Care,Ophthalmic Goods,31.16,1.97,1.477,1.38,4.21,2.38,1.72B,465.80M,21.90B,30.78 - 46.78,"
</"
LVB,Miscellaneous,Home Furnishings,27.19,1.24,0.818,N/A,1.14,0.8,33.90M,12.46M,279.40M,20.61 - 26.97,"
</"
LVLT,,,N/A,0.15,N/A,N/A,4.31,0.82,1.26B,217.90M,5.41B,16.36 - 27.99,"
</"
LVS,Consumer Services,Hotels/Resorts,29.86,1.55,1.85,6.79,5,4.08,3.35B,822.21M,45.94B,34.72 - 62.09,"
</"
LXFR,,,5.89,0.85,2.192,0.77,2.77,0.5,81.90M,19.77M,258.00M,0.00 - 0.00,"
</"
LXK,Technology,Computer Manufacturing,15.73,N/A,1.53,4.78,1.21,0.41,489.50M,64.42M,1.53B,16.10 - 38.34,"
</"
LXP,Consumer Services,Real Estate Investment Trusts,10.44,1.01,1.054,5,1.9,5.69,261.90M,176.58M,1.95B,7.82 - 11.04,"
</"
LXP-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.00 - 55.34,"
</"
LXP-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.18 - 25.61,"
</"
LXU,Basic Industries,Major Chemicals,12.98,1.89,3.19,N/A,2.73,1.16,139.20M,22.40M,941.80M,24.85 - 45.00,"
</"
LYB,Basic Industries,Major Chemicals,18.3,N/A,3.465,6.62,2.96,0.76,4.78B,575.18M,35.30B,35.97 - 64.20,"
</"
LYG,Finance,Commercial Banks,27.42,0.16,0.12,N/A,0.8,2.69,N/A,17.98B,58.78B,1.52 - 3.59,"
</"
LYG-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.99 - 28.09,"
</"
LYV,Consumer Services,Services-Misc. Amusement & Recreation,N/A,N/A,N/A,N/A,1.28,0.35,403.30M,187.22M,1.95B,8.01 - 11.00,"
</"
LZB,Consumer Durables,Home Furnishings,18.69,5.1,0.837,0.26,1.79,0.65,77.00M,52.44M,847.50M,10.95 - 17.13,"
</"
M,Consumer Services,Department/Specialty Retail Stores,12.24,0.88,3.227,2.02,2.81,0.58,3.58B,395.27M,15.62B,32.31 - 42.17,"
</"
MA,Miscellaneous,Business Services,30.35,1.11,17.079,0.23,9.34,8.92,4.06B,124.26M,64.46B,382.05 - 535.35,"
</"
MAA,Consumer Services,Real Estate Investment Trusts,26.07,2.96,2.507,4.09,3.06,5.56,255.00M,42.26M,2.78B,58.40 - 70.22,"
</"
MAC,Consumer Services,Real Estate Investment Trusts,24.38,2.86,2.45,3.73,2.77,7.11,776.30M,136.62M,8.26B,53.18 - 62.83,"
</"
MAIN,,,8.85,2.3,3.596,6.57,1.82,12,N/A,31.65M,1.02B,21.75 - 32.22,"
</"
MAN,Technology,Professional Services,20.85,1.51,2.47,1.67,1.61,0.19,512.20M,78.09M,4.08B,30.53 - 51.89,"
</"
MANU,,,33.8,76.88,0.497,N/A,5.24,5.3,141.20M,163.69M,2.75B,0.00 - 0.00,"
</"
MAR,Consumer Services,Hotels/Resorts,25.26,1.26,1.583,1.23,N/A,4.76,1.35B,315.54M,12.71B,33.93 - 41.84,"
</"
MAS,Basic Industries,Forest Products,N/A,5.45,N/A,1.63,13.74,0.86,526.00M,357.09M,6.62B,11.01 - 18.64,"
</"
MATX,,,37.24,2.2,0.736,0.55,4.29,0.65,244.20M,42.57M,1.13B,0.00 - 0.00,"
</"
MAV,Finance,Closed-End Fund - Debt,7.67,N/A,2.105,7.06,1.19,14.43,N/A,23.35M,377.30M,14.00 - 16.34,"
</"
MBI,Finance,Property-Casualty Insurers,N/A,0.26,N/A,N/A,0.65,3.42,N/A,193.70M,1.69B,6.78 - 12.93,"
</"
MBT,Public Utilities,Telecommunications Equipment,22.83,0.81,0.861,3.87,6.37,1.6,4.82B,994.48M,19.64B,15.62 - 20.11,"
</"
MCA,Closed-End Investment Bond Funds,,N/A,N/A,N/A,5.5,N/A,N/A,N/A,N/A,N/A,14.21 - 17.19,"
</"
MCC,Industrial Goods,General Building Materials,N/A,2.1,N/A,8.62,N/A,N/A,N/A,N/A,N/A,10.67 - 15.33,"
</"
MCD,Consumer Services,Restaurants,17.79,1.87,5.357,3.01,6.89,3.47,9.83B,1.00B,96.33B,83.31 - 101.29,"
</"
MCI,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,7.64,N/A,N/A,N/A,N/A,N/A,14.55 - 17.90,"
</"
MCK,Health Care,Other Pharmaceuticals,16.1,1.11,6.535,0.76,3.22,0.2,2.96B,236.04M,24.36B,80.42 - 106.90,"
</"
MCN,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,8.94,N/A,N/A,N/A,N/A,N/A,7.04 - 8.30,"
</"
MCO,Finance,Finance: Consumer Services,19.81,1.28,2.767,1.17,39.21,4.8,1.09B,222.89M,12.34B,33.86 - 55.08,"
</"
MCP,Basic Industries,Precious Metals,N/A,N/A,N/A,N/A,0.64,1.93,3.80M,137.95M,1.02B,5.75 - 35.79,"
</"
MCP-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.73 - 74.00,"
</"
MCQ,,,23.54,N/A,1.096,5.35,2.05,11.97,N/A,17.32M,447.70M,0.00 - 0.00,"
</"
MCR,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.4,N/A,N/A,N/A,N/A,N/A,9.29 - 10.60,"
</"
MCS,Consumer Services,Hotels/Resorts,16.81,1.23,0.791,10.71,1.08,0.87,82.20M,27.25M,367.90M,10.27 - 14.37,"
</"
MCY,Finance,Property-Casualty Insurers,10.17,10.76,3.895,6.17,1.15,0.76,326.20M,54.91M,2.22B,36.01 - 46.04,"
</"
MD,Health Care,Hospital/Nursing Management,18.13,1.16,4.719,N/A,2.15,2.39,408.00M,48.93M,4.21B,59.24 - 88.22,"
</"
MDC,Capital Goods,Homebuilding,137,5.46,0.287,5.09,2.11,1.83,18.10M,48.65M,1.93B,22.72 - 42.41,"
</"
MDP,Consumer Services,Newspapers/Magazines,14.68,0.86,2.47,4.23,1.97,1.12,264.30M,44.36M,1.61B,26.89 - 37.84,"
</"
MDR,Capital Goods,Metal Fabrications,18.61,0.55,0.654,N/A,1.55,0.83,382.80M,235.87M,2.89B,9.04 - 15.35,"
</"
MDT,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,14.18,1.98,3.287,2.2,2.74,2.89,5.45B,1.01B,47.45B,35.67 - 46.95,"
</"
MDU,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),36.61,3.1,0.637,2.9,1.61,1.08,738.70M,188.84M,4.43B,19.59 - 23.42,"
</"
MED,Consumer Non-Durables,Packaged Foods,22.26,1.12,1.102,N/A,3.91,1,31.90M,13.92M,342.20M,14.86 - 33.29,"
</"
MEG,Consumer Services,Newspapers/Magazines,N/A,N/A,N/A,N/A,N/A,0.18,115.20M,27.92M,126.20M,3.02 - 6.84,"
</"
MEI,Capital Goods,Electrical Products,10.78,1.29,0.892,2.91,1.28,0.73,35.60M,37.06M,365.40M,6.94 - 10.79,"
</"
MEN,Finance,Closed-End Fund - Debt,6.11,N/A,2.089,4.99,1.01,14.14,N/A,29.49M,377.80M,10.92 - 13.65,"
</"
MER-D,Finance,Finance/Investors Services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.15 - 25.50,"
</"
MER-E,Finance,Finance/Investors Services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.51 - 26.00,"
</"
MER-F,Finance,Finance/Investors Services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.69 - 25.50,"
</"
MER-K,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.22 - 25.49,"
</"
MER-M,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.14 - 25.38,"
</"
MER-P,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.05 - 25.70,"
</"
MET,Finance,Life Insurance,15.22,0.82,2.453,1.98,0.62,0.6,8.85B,1.09B,41.68B,27.60 - 39.55,"
</"
MET-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.49 - 25.61,"
</"
MET-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.85 - 26.41,"
</"
MFA,Consumer Services,Real Estate Investment Trusts,10.73,2.41,0.838,9.79,0.99,9.45,N/A,357.55M,3.24B,7.01 - 9.04,"
</"
MFA-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.15 - 26.30,"
</"
MFB,Consumer Services,Department/Specialty Retail Stores,18.29,1.08,1.061,N/A,1.76,0.78,50.30M,23.57M,461.80M,16.94 - 26.37,"
</"
MFC,Finance,Life Insurance,50.45,1.17,0.286,3.62,1.16,0.82,N/A,1.82B,26.39B,9.97 - 14.86,"
</"
MFD,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,N/A,1.12,9.86,N/A,8.54M,137.00M,13.48 - 16.48,"
</"
MFG,Finance,Major Banks,9.61,N/A,0.414,N/A,0.76,1.58,N/A,12.02B,48.19B,2.80 - 4.01,"
</"
MFL,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.63,N/A,N/A,N/A,N/A,N/A,13.85 - 17.20,"
</"
MFM,Finance,Closed-End Fund - Debt,6.15,N/A,1.275,6.07,1.1,13.48,N/A,41.01M,319.46M,6.99 - 8.34,"
</"
MFO,,,30.82,N/A,0.838,5.89,2.85,27.16,N/A,357.55M,9.23B,0.00 - 0.00,"
</"
MFT,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.35,N/A,N/A,N/A,N/A,N/A,13.58 - 16.91,"
</"
MFV,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,9.28,N/A,N/A,N/A,N/A,N/A,6.45 - 7.93,"
</"
MG,Consumer Services,Military/Government/Technical,27.15,1.04,0.811,N/A,2.97,1.29,66.00M,28.16M,624.60M,19.05 - 26.98,"
</"
MGA,Capital Goods,Auto Parts:O.E.M.,8.83,1.07,5.917,2.63,1.33,0.41,2.30B,233.23M,12.41B,36.54 - 54.18,"
</"
MGF,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,7.53,N/A,N/A,N/A,N/A,N/A,6.49 - 7.55,"
</"
MGI,Miscellaneous,Business Services,N/A,0.94,N/A,N/A,N/A,0.61,272.40M,57.86M,806.50M,11.00 - 19.46,"
</"
MGM,Consumer Services,Hotels/Resorts,N/A,N/A,N/A,N/A,1.12,0.71,1.78B,489.20M,6.34B,8.83 - 14.94,"
</"
MGR,,,7.9,N/A,3.28,3.19,0.65,0.75,614.50M,52.12M,1.34B,0.00 - 0.00,"
</"
MGU,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.28,N/A,N/A,N/A,N/A,N/A,16.16 - 20.60,"
</"
MH-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MHD,Finance,Closed-End Fund - Debt,5.68,N/A,3.414,6.79,1.06,14.14,N/A,14.08M,271.80M,16.20 - 19.99,"
</"
MHF,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,4.91,N/A,N/A,N/A,N/A,N/A,7.39 - 9.27,"
</"
MHI,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.92,N/A,N/A,N/A,N/A,N/A,14.10 - 16.89,"
</"
MHK,Consumer Durables,Home Furnishings,30.98,1.09,3.281,N/A,1.95,1.23,661.40M,69.06M,7.07B,59.69 - 105.26,"
</"
MHN,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.92,N/A,N/A,N/A,N/A,N/A,14.70 - 17.10,"
</"
MHNA,,,N/A,N/A,N/A,7.77,N/A,N/A,N/A,N/A,N/A,24.21 - 27.35,"
</"
MHNB,,,N/A,N/A,N/A,5.56,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MHO,Capital Goods,Homebuilding,99.05,1.51,0.275,N/A,2.54,0.85,35.80M,21.44M,511.50M,10.42 - 29.07,"
</"
MHO-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.99 - 23.94,"
</"
MHP,Consumer Services,Books,19.01,1.01,3.025,1.77,8.94,2.52,1.80B,277.70M,16.20B,42.02 - 57.86,"
</"
MHR,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,1.38,2.87,86.20M,169.09M,706.80M,3.29 - 7.71,"
</"
MHY,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,7.77,N/A,N/A,N/A,N/A,N/A,5.75 - 6.77,"
</"
MIC,Energy,Oil Refining/Marketing,61.08,1.15,0.759,5.18,3.09,2.1,151.70M,46.76M,2.20B,28.51 - 48.88,"
</"
MIG,Finance,Property-Casualty Insurers,N/A,N/A,N/A,2.71,0.56,0.34,N/A,49.78M,317.10M,5.21 - 10.19,"
</"
MIL,Technology,Scientific & Technical Instruments,2.46,N/A,3.98,2.35,0.77,1.22,62.30M,62.55M,618.00M,6.65 - 10.24,"
</"
MILL,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,0.58,4.8,N/A,43.35M,173.40M,3.34 - 5.59,"
</"
MIN,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,8.35,N/A,N/A,N/A,N/A,N/A,6.06 - 7.03,"
</"
MIT-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MITT,,,3.06,N/A,8.3,11.69,1.07,4.28,N/A,23.12M,594.30M,18.99 - 25.59,"
</"
MIY,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.07,N/A,N/A,N/A,N/A,N/A,14.19 - 17.02,"
</"
MJI,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.49,N/A,N/A,N/A,N/A,N/A,15.02 - 17.41,"
</"
MJN,Consumer Non-Durables,Packaged Foods,28.16,2.07,2.699,1.58,584.62,4.03,956.50M,203.02M,15.24B,61.27 - 88.72,"
</"
MKC,Consumer Non-Durables,Packaged Foods,20.51,2.33,3.04,2.04,4.91,2.06,682.80M,132.68M,8.41B,49.87 - 66.95,"
</"
MKC.V,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.66 - 66.43,"
</"
MKL,Finance,Property-Casualty Insurers,19.15,2.59,24.863,N/A,1.2,1.59,489.90M,9.62M,4.60B,402.32 - 502.20,"
</"
MKS,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.11,N/A,N/A,N/A,N/A,N/A,18.57 - 25.58,"
</"
MLG,Finance,Life Insurance,10.46,N/A,2.453,5.72,0.43,0.41,8.85B,1.09B,28.07B,25.13 - 27.38,"
</"
MLI,Capital Goods,Metal Fabrications,25.89,2.1,2.061,0.8,3.01,0.69,153.50M,28.09M,1.52B,39.72 - 53.83,"
</"
MLM,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),61.9,5.51,1.595,1.62,3.17,2.32,312.50M,45.91M,4.52B,63.64 - 101.86,"
</"
MLP,Consumer Non-Durables,Packaged Foods,N/A,N/A,N/A,N/A,N/A,4.86,965.00K,18.75M,75.20M,1.83 - 4.49,"
</"
MLR,Capital Goods,Construction/Ag Equipment/Trucks,14.03,N/A,1.089,3.4,1.09,0.46,21.80M,11.07M,174.40M,13.55 - 17.80,"
</"
MLU,Finance,Life Insurance,N/A,N/A,N/A,9.35,N/A,N/A,N/A,N/A,N/A,42.70 - 74.04,"
</"
MM,Basic Materials,Steel & Iron,N/A,N/A,N/A,N/A,6.06,5.86,N/A,78.34M,895.40M,38.33 - 64.41,"
</"
MMC,Finance,Specialty Insurers,16.75,1.34,2.118,2.56,2.96,1.63,2.15B,544.40M,19.53B,30.74 - 35.78,"
</"
MMD,,,N/A,N/A,N/A,3.32,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MMM,Health Care,Medical/Dental Instruments,15.91,1.5,6.32,2.35,3.83,2.31,7.76B,687.09M,69.78B,81.99 - 101.95,"
</"
MMP,Energy,Natural Gas Distribution,29.24,N/A,1.731,2.72,7.78,6.52,627.90M,226.20M,11.61B,39.06 - 90.64,"
</"
MMR,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,1.6,6.79,40.50M,161.93M,2.60B,7.25 - 16.13,"
</"
MMS,Miscellaneous,Business Services,31.3,1.43,2.191,0.53,5.17,2.23,152.10M,34.09M,2.36B,39.93 - 71.00,"
</"
MMT,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.71,N/A,N/A,N/A,N/A,N/A,6.74 - 7.43,"
</"
MMU,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.17,N/A,N/A,N/A,N/A,N/A,12.72 - 16.42,"
</"
MN,,,N/A,1.65,N/A,4.54,1.17,0.58,162.60M,13.59M,199.30M,11.49 - 15.27,"
</"
MNE,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,4.76,N/A,N/A,N/A,N/A,N/A,14.10 - 16.53,"
</"
MNI,Consumer Services,Newspapers/Magazines,3.48,0.89,0.839,N/A,1.19,0.2,325.40M,85.90M,270.60M,1.50 - 3.46,"
</"
MNP,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.34,N/A,N/A,N/A,N/A,N/A,15.05 - 18.32,"
</"
MNR,Consumer Services,Real Estate Investment Trusts,32.81,N/A,0.331,5.52,2.16,8.86,38.70M,41.19M,451.90M,9.02 - 11.92,"
</"
MNR-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.06 - 26.88,"
</"
MNR-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MO,Consumer Non-Durables,Farming/Seeds/Milling,17.55,1.89,1.919,5.05,17.63,3.92,7.61B,2.02B,69.22B,28.52 - 36.29,"
</"
MOD,Capital Goods,Auto Parts:O.E.M.,35.78,0.51,0.237,N/A,1.32,0.28,112.70M,47.20M,397.90M,5.50 - 10.49,"
</"
MOG.A,Technology,Industrial Machinery/Components,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.46 - 45.80,"
</"
MOG.B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.75 - 45.42,"
</"
MOH,Health Care,Hospital And Medical Service Plans,N/A,N/A,N/A,N/A,1.77,0.23,79.00M,46.59M,1.34B,17.63 - 36.83,"
</"
MON,Basic Industries,Agricultural Chemicals,24.15,2.03,4.196,1.33,4.42,3.88,4.10B,535.82M,54.80B,69.70 - 104.19,"
</"
MOS,Basic Industries,Agricultural Chemicals,14.23,2.12,4.303,1.02,1.99,2.59,2.84B,425.70M,26.44B,44.43 - 63.46,"
</"
MOV,Consumer Non-Durables,Consumer Specialties,15.61,2.05,2.342,3.97,2.16,1.84,59.60M,25.32M,935.20M,18.44 - 37.50,"
</"
MP-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.22 - 27.63,"
</"
MPA,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.56,N/A,N/A,N/A,N/A,N/A,15.12 - 17.42,"
</"
MPC,,,7.5,0.95,9.89,1.62,2.19,0.31,6.30B,339.18M,25.85B,33.66 - 75.01,"
</"
MPG,Consumer Services,Real Estate Investment Trusts,1.22,23.91,2.467,N/A,N/A,0.53,162.20M,57.20M,177.90M,1.66 - 3.81,"
</"
MPG-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.51 - 23.34,"
</"
MPLX,,,20.06,1.96,1.716,0.51,2.16,5.81,162.30M,73.90M,2.63B,0.00 - 0.00,"
</"
MPO,,,N/A,5.68,N/A,N/A,1.32,2.16,94.00M,65.64M,481.80M,0.00 - 0.00,"
</"
MPR,Capital Goods,Pollution Control Equipment,19.94,1.66,0.52,2.75,1.75,1.37,14.40M,14.69M,151.60M,8.30 - 11.00,"
</"
MPV,Consumer Services,Miscellaneous,N/A,N/A,N/A,7.51,N/A,N/A,N/A,N/A,N/A,13.70 - 16.14,"
</"
MPW,Consumer Services,Real Estate Investment Trusts,23.35,1.41,0.576,5.95,1.75,9.64,153.80M,134.78M,1.84B,8.66 - 13.77,"
</"
MPX,Capital Goods,Marine Transportation,33.21,2.78,0.19,9.98,2.98,1.55,9.50M,36.68M,230.70M,4.96 - 6.79,"
</"
MQT,Finance,Closed-End Fund - Debt,4.84,N/A,3.076,5.15,1.06,14.62,N/A,22.48M,334.10M,12.91 - 16.34,"
</"
MQY,Finance,Closed-End Fund - Debt,5.08,N/A,3.422,5.51,1.07,14.82,N/A,30.54M,528.00M,14.72 - 18.54,"
</"
MR,Health Care,Medical/Dental Instruments,26.25,1.32,1.44,1.06,3.52,4.39,217.20M,117.08M,4.41B,26.17 - 38.79,"
</"
MRC,,,22.2,1.08,1.384,N/A,2.63,0.56,420.20M,101.51M,3.15B,0.00 - 0.00,"
</"
MRF,Finance,Closed-End Fund - Debt,12.62,N/A,0.688,6.82,1.02,12.54,N/A,9.47M,81.40M,7.61 - 8.92,"
</"
MRH,Finance,Property-Casualty Insurers,5.49,0.96,4.444,1.76,0.89,1.73,309.70M,55.53M,1.36B,17.25 - 24.72,"
</"
MRH-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.95 - 28.24,"
</"
MRK,Consumer Durables,Major Pharmaceuticals,19.66,3.25,2.2,3.91,2.36,2.75,17.79B,3.04B,127.20B,36.91 - 48.00,"
</"
MRO,Energy,Integrated oil Companies,13.17,2.65,2.552,2.02,1.31,1.56,8.10B,706.43M,24.17B,23.17 - 35.49,"
</"
MS,Finance,Investment Bankers/Brokers/Service,N/A,0.74,N/A,0.88,0.75,1.72,N/A,1.97B,46.41B,12.26 - 23.03,"
</"
MS-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.70 - 21.60,"
</"
MSA,Health Care,Industrial Specialties,19.66,1.31,2.351,2.38,3.56,1.45,171.80M,36.96M,1.71B,32.93 - 46.63,"
</"
MSB,Basic Industries,Precious Metals,10.07,N/A,2.451,9.42,114.74,9.76,N/A,13.12M,325.60M,21.51 - 33.44,"
</"
MSCI,Miscellaneous,Business Services,23.93,1.14,1.41,N/A,2.8,4.43,415.70M,122.10M,4.13B,24.75 - 38.17,"
</"
MSD,Finance,Closed-End Fund - Foreign,11.26,N/A,1.093,5.12,1.02,16.67,N/A,23.67M,289.90M,10.59 - 12.56,"
</"
MSF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,0.51,1.05,50.63,N/A,17.22M,278.70M,12.90 - 16.37,"
</"
MSI,Technology,Radio And Television Broadcasting And Communications Equipment,19.73,1.17,2.96,1.64,4.99,1.87,1.49B,279.29M,16.44B,44.49 - 59.48,"
</"
MSJ,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.54,N/A,N/A,N/A,N/A,N/A,22.58 - 25.50,"
</"
MSK,,Processed & Packaged Goods,N/A,N/A,N/A,6.43,N/A,N/A,N/A,N/A,N/A,22.55 - 25.33,"
</"
MSM,Capital Goods,Industrial Machinery/Components,19.09,1.53,4.144,1.39,4,2.09,458.10M,63.15M,5.08B,61.39 - 84.76,"
</"
MSO,Consumer Services,Newspapers/Magazines,N/A,N/A,N/A,N/A,2.08,0.96,N/A,67.09M,195.90M,2.28 - 4.89,"
</"
MSP,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,8.78,N/A,N/A,N/A,N/A,N/A,10.45 - 12.06,"
</"
MSZ,Finance,Major Banks,N/A,N/A,N/A,6.55,N/A,N/A,N/A,N/A,N/A,22.38 - 25.41,"
</"
MT,Basic Industries,Steel/Iron Ore,N/A,N/A,N/A,4.38,0.48,0.3,8.26B,1.55B,27.06B,13.28 - 23.62,"
</"
MTB,Finance,Major Banks,13.62,1.51,7.54,2.73,1.41,3.24,N/A,128.23M,13.33B,76.92 - 105.33,"
</"
MTB-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.18 - 26.99,"
</"
MTB-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MTB.P,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MTB.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MTCN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MTD,Capital Goods,Biotechnology: Laboratory Analytical Instruments,24.31,1.67,8.744,N/A,8.16,2.79,442.20M,30.64M,6.58B,143.60 - 214.68,"
</"
MTDR,,,N/A,N/A,N/A,N/A,1.1,3.71,91.70M,55.56M,433.40M,7.70 - 12.33,"
</"
MTG,Finance,Property-Casualty Insurers,N/A,N/A,N/A,N/A,0.84,0.38,N/A,202.02M,579.80M,0.66 - 5.15,"
</"
MTH,Capital Goods,Homebuilding,N/A,5.1,N/A,N/A,2.64,1.46,38.90M,35.60M,1.49B,24.07 - 44.76,"
</"
