Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
NICE,Technology,Computer Manufacturing,45.51,1.06,0.811,N/A,1.93,2.62,131.00M,60.77M,2.27B,29.51 - 40.04,"
</"
NICK,Finance,Finance Companies,7.52,1.42,1.739,3.37,1.26,2.42,N/A,11.98M,157.20M,11.71 - 14.80,"
</"
NIHD,Public Utilities,Telecommunications Equipment,N/A,N/A,N/A,N/A,0.41,0.19,1.08B,171.58M,1.13B,4.75 - 24.32,"
</"
NILE,Consumer Services,Consumer Specialties,60.89,3.01,0.55,N/A,53.5,1.11,13.10M,12.50M,424.10M,22.94 - 44.99,"
</"
NINE,Technology,Computer Software: Prepackaged Software,8.33,N/A,0.21,N/A,0.4,4.75,N/A,37.77M,66.10M,1.01 - 2.05,"
</"
NKBP,Consumer Durables,Major Pharmaceuticals,N/A,2.53,N/A,N/A,1.12,2.63,3.10M,19.66M,111.30M,2.40 - 5.74,"
</"
NKSH,Finance,Major Banks,13.08,N/A,2.587,3.25,1.56,5.09,N/A,6.95M,245.00M,25.91 - 37.14,"
</"
NKTR,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,10.35,13.02,N/A,115.21M,1.02B,5.65 - 10.98,"
</"
NLNK,,,N/A,N/A,N/A,N/A,10.67,146.74,N/A,20.91M,254.70M,6.95 - 18.00,"
</"
NLST,Technology,Semiconductors,N/A,N/A,N/A,N/A,1.4,0.47,N/A,28.46M,22.20M,0.65 - 4.24,"
</"
NMAR,,,N/A,N/A,N/A,N/A,3.6,N/A,N/A,1.74M,17.50M,0.00 - 0.00,"
</"
NMARW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06 - 0.54,"
</"
NMRX,Consumer Durables,Telecommunications Equipment,26.86,1.32,0.462,N/A,3.69,3.03,5.10M,15.56M,194.70M,8.18 - 13.86,"
</"
NNBR,Capital Goods,Metal Fabrications,7.53,N/A,1.23,N/A,1.34,0.41,46.20M,17.04M,160.00M,6.90 - 10.86,"
</"
NOVB,Finance,Major Banks,14.53,1.25,1.156,N/A,1.16,2.62,N/A,6.83M,114.80M,9.87 - 17.39,"
</"
NPBC,Finance,Major Banks,14.84,2.8,0.657,3.69,1.22,4.14,N/A,145.13M,1.43B,8.18 - 9.90,"
</"
NPBCO,Finance,Major Banks,N/A,N/A,N/A,7.68,N/A,N/A,N/A,N/A,N/A,25.12 - 26.40,"
</"
NPSP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,N/A,7.31,N/A,86.65M,762.50M,6.30 - 11.22,"
</"
NRCI,Health Care,Biotechnology: Commercial Physical & Biological Resarch,25.6,1.6,2.101,4.72,5.73,4.41,27.10M,6.85M,369.20M,37.45 - 58.23,"
</"
NRIM,Finance,Savings Institutions,11.06,N/A,1.97,2.57,1.04,2.39,N/A,6.51M,142.10M,19.60 - 23.12,"
</"
NSEC,Finance,Life Insurance,N/A,N/A,N/A,2.94,0.71,0.35,991.00K,2.46M,20.70M,7.52 - 10.92,"
</"
NSIT,Consumer Services,Catalog/Specialty Distribution,8.2,0.6,2.389,N/A,1.28,0.16,199.60M,44.56M,888.90M,14.12 - 23.14,"
</"
NSPH,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,3.19,36.15,N/A,55.79M,155.10M,1.51 - 3.89,"
</"
NSSC,Consumer Durables,Telecommunications Equipment,33.96,N/A,0.106,N/A,1.85,0.98,5.80M,19.11M,68.80M,2.39 - 3.70,"
</"
NSYS,Capital Goods,Industrial Machinery/Components,14.39,N/A,0.212,N/A,0.41,0.08,3.30M,2.75M,8.40M,2.49 - 4.33,"
</"
NTAP,Technology,Electronic Components,28.26,1.5,1.274,N/A,2.93,2.06,815.00M,358.29M,12.99B,26.26 - 46.80,"
</"
NTCT,Technology,EDP Services,28.26,1.35,0.921,N/A,3.01,3.18,83.90M,41.70M,1.10B,17.75 - 28.28,"
</"
NTES,Miscellaneous,Business Services,10.83,0.89,4.287,2.15,2.41,4.77,613.30M,131.49M,6.20B,37.00 - 65.54,"
</"
NTGR,Public Utilities,Telecommunications Equipment,14.51,5.96,2.42,N/A,1.83,1.06,148.20M,38.28M,1.38B,28.68 - 43.44,"
</"
NTIC,Capital Goods,Industrial Specialties,20.6,0.65,0.65,N/A,1.57,2.55,N/A,4.42M,57.40M,9.60 - 16.48,"
</"
NTK,,,52.74,N/A,1.368,N/A,10.23,0.49,261.80M,15.16M,1.09B,27.00 - 74.65,"
</"
NTLS,Public Utilities,Telecommunications Equipment,N/A,3.73,N/A,12.99,5.62,0.61,126.60M,20.90M,270.70M,11.68 - 25.01,"
</"
NTRI,Consumer Services,Catalog/Specialty Distribution,291.29,3.66,0.031,7.75,3.59,0.62,18.30M,27.60M,250.60M,7.21 - 12.12,"
</"
NTRS,Finance,Major Banks,18.32,1.45,2.81,2.29,1.63,3.18,N/A,238.90M,12.44B,41.11 - 53.50,"
</"
NTSC,Health Care,Precision Instruments,22.79,N/A,0.351,N/A,1.33,0.51,25.70M,11.51M,93.60M,4.81 - 8.80,"
</"
NTSP,Finance,Finance: Consumer Services,51.08,1.05,0.212,N/A,7.36,2.23,84.50M,69.75M,754.00M,6.41 - 12.46,"
</"
NTWK,Technology,Computer Software: Prepackaged Software,10.21,0.39,0.711,N/A,0.88,1.24,14.60M,7.59M,55.10M,3.60 - 9.50,"
</"
NUAN,Technology,Computer Software: Prepackaged Software,37.23,0.76,0.646,N/A,2.76,4.55,380.00M,312.41M,7.58B,19.33 - 31.15,"
</"
NUCL,,,N/A,N/A,N/A,3.1,N/A,N/A,N/A,N/A,N/A,29.57 - 35.89,"
</"
NURO,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,0.57,0.72,N/A,12.91M,6.20M,0.40 - 1.49,"
</"
NUTR,Consumer Durables,Specialty Chemicals,11.06,N/A,1.59,5.69,1.32,0.86,35.30M,9.78M,173.80M,12.51 - 17.90,"
</"
NUVA,Health Care,Medical/Dental Instruments,N/A,2.36,N/A,N/A,1.41,1.24,92.40M,43.53M,763.50M,12.35 - 25.99,"
</"
NVAX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,3.95,10.38,N/A,135.50M,243.90M,1.12 - 2.44,"
</"
NVDA,Technology,Semiconductors,15.31,1.33,0.801,0.61,1.62,1.86,827.00M,624.82M,7.73B,11.15 - 16.90,"
</"
NVDQ,,,N/A,N/A,N/A,N/A,15.81,17.82,N/A,40.13M,374.00M,0.00 - 0.00,"
</"
NVEC,Technology,Semiconductors,22.63,0.88,2.43,N/A,2.94,9.75,15.70M,4.86M,272.10M,46.35 - 61.47,"
</"
NVGN,Consumer Durables,Major Pharmaceuticals,5.66,N/A,0.325,N/A,2.16,4.89,N/A,4.15M,8.00M,1.47 - 10.45,"
</"
NVMI,Capital Goods,Electronic Components,17.37,N/A,0.518,N/A,2.16,2.57,15.70M,26.65M,241.70M,6.82 - 9.50,"
</"
NVSL,Finance,Savings Institutions,N/A,N/A,N/A,1.29,0.63,8.43,N/A,6.61M,45.40M,6.52 - 7.79,"
</"
NVTL,Consumer Durables,Telecommunications Equipment,N/A,N/A,N/A,N/A,0.64,0.16,N/A,33.09M,63.20M,1.17 - 3.69,"
</"
NWBI,Finance,Major Banks,18.02,3.51,0.677,3.93,1.01,3.86,N/A,93.68M,1.14B,11.03 - 13.08,"
</"
NWBO,,,N/A,N/A,N/A,N/A,N/A,185.34,N/A,25.52M,79.10M,0.00 - 0.00,"
</"
NWBOW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
NWFL,Finance,Major Banks,11.73,N/A,2.56,4.03,1.07,3.6,N/A,3.30M,97.50M,25.25 - 32.01,"
</"
NWLI,Finance,Life Insurance,8.29,N/A,19.714,0.22,0.43,0.88,110.70M,3.63M,594.30M,124.66 - 165.16,"
</"
NWPX,Basic Industries,Steel/Iron Ore,17.71,1.61,1.392,N/A,0.91,0.46,39.80M,9.38M,231.60M,18.87 - 27.11,"
</"
NWS,Consumer Services,Newspapers/Magazines,25.81,N/A,1.094,0.6,2.53,1.95,6.75B,2.34B,67.08B,18.52 - 28.66,"
</"
NWSA,Consumer Services,Newspapers/Magazines,25.36,1.05,1.094,0.65,2.49,1.92,6.75B,2.34B,66.02B,18.32 - 28.22,"
</"
NXPI,Technology,Semiconductors,N/A,0.4,N/A,N/A,7.11,1.71,945.00M,248.50M,7.64B,18.57 - 30.70,"
</"
NXST,Consumer Services,Broadcasting,17.58,2.26,0.818,N/A,N/A,1.2,128.80M,29.02M,425.10M,6.00 - 14.48,"
</"
NXTM,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,3.49,2.95,N/A,59.09M,674.80M,10.15 - 21.87,"
</"
NYMT,Consumer Services,Real Estate Investment Trusts,7.02,N/A,0.997,15.14,1.07,11.35,N/A,49.56M,351.40M,5.51 - 7.69,"
</"
NYMX,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,N/A,N/A,N/A,N/A,N/A,72.94,N/A,33.32M,216.60M,5.69 - 8.95,"
</"
NYNY,Consumer Services,Restaurants,N/A,N/A,N/A,N/A,3.13,0.85,2.50M,30.00M,61.80M,1.50 - 3.13,"
</"
OABC,Finance,Savings Institutions,45.03,8.46,0.551,N/A,1.25,4.97,N/A,10.34M,261.00M,16.48 - 25.32,"
</"
OBAF,Finance,Savings Institutions,92.64,N/A,0.197,N/A,0.92,6.1,N/A,4.30M,78.50M,14.00 - 18.25,"
</"
OBAS,Technology,EDP Services,25.22,N/A,0.226,N/A,0.47,1.6,10.30M,3.82M,21.80M,3.10 - 7.30,"
</"
OBCI,Consumer Durables,Specialty Chemicals,11.79,N/A,0.201,N/A,1.26,0.63,3.50M,8.28M,20.20M,1.76 - 2.81,"
</"
OCC,Basic Industries,Telecommunications Equipment,9.77,N/A,0.426,1.56,0.87,0.31,6.60M,6.31M,27.20M,2.65 - 5.16,"
</"
OCFC,Finance,Savings Institutions,12.67,1.22,1.12,3.38,1.12,2.95,N/A,17.41M,251.80M,12.43 - 15.00,"
</"
OCLR,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.59,0.34,N/A,90.87M,146.30M,1.11 - 5.10,"
</"
OCLS,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,N/A,1.79,N/A,37.11M,27.46M,0.50 - 1.45,"
</"
OCZ,Technology,Electronic Components,N/A,N/A,N/A,N/A,0.61,0.38,N/A,67.65M,149.50M,1.11 - 10.05,"
</"
ODFL,Transportation,Trucking Freight/Courier Services,18.91,1.21,1.971,N/A,3.26,1.55,386.10M,86.16M,3.24B,26.12 - 37.91,"
</"
OFED,Finance,Savings Institutions,22.45,N/A,0.65,2.06,1.08,7.43,N/A,6.20M,90.60M,11.50 - 18.30,"
</"
OFIX,Health Care,Medical/Dental Instruments,16.85,1.11,2.264,N/A,1.95,1.27,116.50M,19.32M,742.30M,34.85 - 45.62,"
</"
OFLX,Capital Goods,Industrial Specialties,18.47,N/A,0.77,7.03,4.95,2.34,7.50M,10.09M,143.80M,8.57 - 17.47,"
</"
OFS,,,N/A,N/A,N/A,1.18,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
OGXI,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,N/A,N/A,N/A,N/A,2.76,16.7,N/A,14.66M,188.80M,11.51 - 17.48,"
</"
OIIM,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.68,1.04,N/A,33.22M,102.00M,2.83 - 5.85,"
</"
OINK,Consumer Non-Durables,Farming/Seeds/Milling,12.54,N/A,0.071,N/A,0.24,0.34,3.70M,11.16M,10.60M,0.73 - 2.58,"
</"
OKSB,Finance,Major Banks,20.02,1.84,0.64,N/A,1.02,2.8,N/A,19.53M,252.10M,7.78 - 13.06,"
</"
OKSBP,Finance,Major Banks,N/A,N/A,N/A,15.4,N/A,N/A,N/A,N/A,N/A,24.01 - 27.94,"
</"
OLBK,Finance,Major Banks,10.71,N/A,1.09,1.37,1.07,2.25,N/A,6.85M,80.60M,7.79 - 12.99,"
</"
OMAB,Transportation,Aerospace,21.33,7.39,1.248,3.27,2.76,5.68,101.90M,49.89M,1.36B,13.33 - 26.98,"
</"
OMCL,Technology,Computer Manufacturing,36.74,1.01,0.43,N/A,1.77,1.83,39.20M,33.18M,590.90M,12.33 - 16.83,"
</"
OMER,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,25.32,N/A,25.89M,143.70M,5.08 - 13.45,"
</"
OMEX,Consumer Services,Marine Transportation,N/A,N/A,N/A,N/A,N/A,36.78,N/A,74.40M,236.60M,2.41 - 4.36,"
</"
OMPI,Consumer Durables,Major Pharmaceuticals,18.47,1.4,0.778,N/A,4.65,2.07,25.50M,17.41M,249.20M,10.55 - 18.00,"
</"
ONCY,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,13.3,N/A,N/A,76.69M,296.80M,1.60 - 5.86,"
</"
ONEQ,,,N/A,N/A,N/A,1.04,N/A,N/A,N/A,N/A,N/A,107.49 - 127.00,"
</"
ONFC,Finance,Banks,14.92,N/A,0.821,3.92,0.94,1.92,N/A,6.95M,85.10M,9.20 - 12.86,"
</"
ONNN,Technology,Semiconductors,91.34,1.42,0.086,N/A,2.35,1.18,497.30M,448.34M,3.65B,5.70 - 9.85,"
</"
ONTY,Health Care,Biotechnology: Commercial Physical & Biological Resarch,N/A,N/A,N/A,N/A,1.46,N/A,N/A,57.18M,115.50M,1.71 - 9.23,"
</"
ONVI,Miscellaneous,Business Services,36.73,N/A,0.098,N/A,2.77,1.39,N/A,8.53M,30.44M,2.94 - 4.29,"
</"
ONXX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),69.77,N/A,1.111,N/A,6.24,11.05,N/A,67.15M,5.32B,35.73 - 93.18,"
</"
OPAY,,,N/A,N/A,N/A,N/A,1.59,0.76,166.00K,16.65M,103.20M,3.75 - 6.49,"
</"
OPEN,Miscellaneous,Business Services,52.64,1.38,1.001,N/A,7.94,7.68,46.50M,22.72M,1.21B,33.53 - 55.95,"
</"
OPHC,Finance,Major Banks,N/A,N/A,N/A,N/A,1.81,5.29,N/A,30.84M,16.65M,0.40 - 5.43,"
</"
OPLK,Public Utilities,Telecommunications Equipment,N/A,0.72,N/A,N/A,1.18,1.83,17.80M,19.11M,297.20M,11.97 - 19.52,"
</"
OPOF,Finance,Major Banks,14.54,N/A,0.84,1.64,0.68,1.54,N/A,4.96M,59.30M,10.00 - 12.65,"
</"
OPTR,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,3.5,3.02,N/A,47.69M,460.20M,8.64 - 16.49,"
</"
OPTT,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,N/A,0.93,4.71,N/A,10.29M,21.40M,2.00 - 3.97,"
</"
OPXA,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,2.96,N/A,N/A,5.77M,7.10M,0.29 - 2.00,"
</"
OPXAW,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.01 - 0.78,"
</"
ORBC,Consumer Services,Telecommunications Equipment,27.05,2.96,0.156,N/A,1.1,3.18,12.50M,46.74M,205.20M,2.72 - 4.42,"
</"
ORBK,Capital Goods,Industrial Machinery/Components,N/A,41.8,N/A,N/A,0.92,0.95,16.40M,43.53M,417.50M,6.43 - 11.85,"
</"
ORBT,Capital Goods,Industrial Machinery/Components,28.86,N/A,0.123,N/A,0.87,0.55,2.20M,4.56M,16.40M,2.88 - 4.66,"
</"
ORCC,Miscellaneous,Business Services,N/A,1.66,N/A,N/A,0.94,0.78,28.50M,32.90M,125.66M,1.99 - 3.82,"
</"
ORCL,Technology,Computer Software: Prepackaged Software,16.69,1.1,2.127,1.01,3.92,4.52,17.30B,4.73B,171.42B,25.33 - 35.88,"
</"
OREX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,8.19,136.37,N/A,81.73M,478.10M,2.74 - 7.73,"
</"
ORIG,,,N/A,N/A,N/A,N/A,0.77,2.4,400.00M,131.73M,2.33B,12.14 - 18.43,"
</"
ORIT,Finance,Major Banks,18.6,3.74,0.814,6.44,1.25,6.81,N/A,41.65M,641.40M,12.60 - 16.10,"
</"
ORLY,Consumer Services,Other Specialty Stores,20.39,1.17,4.545,N/A,4.76,1.75,1.13B,114.62M,10.70B,75.61 - 107.13,"
</"
ORRF,Finance,Major Banks,N/A,N/A,N/A,N/A,1.12,7.63,N/A,7.92M,103.00M,7.45 - 12.44,"
</"
OSBC,Finance,Major Banks,N/A,N/A,N/A,N/A,43.12,0.3,N/A,14.10M,31.30M,1.10 - 2.24,"
</"
OSBCP,Finance,Major Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.76 - 9.20,"
</"
OSH,,,N/A,N/A,N/A,N/A,N/A,0.07,26.00M,6.03M,42.60M,6.90 - 27.93,"
</"
OSHC,Finance,Savings Institutions,20.73,N/A,0.74,1.17,0.95,3.33,N/A,6.47M,99.90M,10.50 - 15.99,"
</"
OSIR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,6.74,13.11,N/A,32.88M,267.30M,4.47 - 14.46,"
</"
OSIS,Technology,Semiconductors,23.7,0.93,2.295,N/A,2.39,1.33,94.20M,20.05M,1.10B,48.51 - 81.23,"
</"
OSM,,,N/A,N/A,N/A,4.51,N/A,N/A,N/A,N/A,N/A,22.25 - 24.86,"
</"
OSN,Basic Industries,Steel/Iron Ore,15.31,N/A,0.057,N/A,0.21,0.14,6.10M,19.93M,17.34M,0.73 - 1.40,"
</"
OSTK,Consumer Services,Catalog/Specialty Distribution,21.68,N/A,0.62,N/A,10.18,0.29,28.20M,23.45M,314.00M,4.97 - 17.65,"
</"
OSUR,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,2.23,4.35,N/A,55.19M,387.40M,6.56 - 14.01,"
</"
OTEX,Technology,EDP Services,27.89,0.78,2.092,N/A,2.69,2.68,372.00M,58.57M,3.41B,44.67 - 62.70,"
</"
OTIV,Technology,Semiconductors,N/A,N/A,N/A,N/A,1.59,0.88,N/A,31.54M,41.00M,0.92 - 1.90,"
</"
OTT,Public Utilities,Telecommunications Equipment,N/A,N/A,N/A,51.88,N/A,N/A,N/A,N/A,N/A,1.25 - 15.12,"
</"
OTTR,Public Utilities,Electric Utilities: Central,N/A,4.45,N/A,4.43,1.83,0.88,143.10M,36.17M,988.80M,20.70 - 27.18,"
</"
OUTD,Consumer Services,Television Services,96.5,3.4,0.08,3.24,1.44,2.58,10.00M,25.21M,191.10M,5.97 - 7.99,"
</"
OVBC,Finance,Major Banks,10.52,N/A,1.75,4.78,1.15,2.2,N/A,4.72M,86.40M,17.07 - 20.56,"
</"
OVLY,Finance,Major Banks,12.21,N/A,0.688,N/A,1.05,2.43,N/A,7.76M,64.20M,5.02 - 8.75,"
</"
OVRL,Technology,Electronic Components,N/A,N/A,N/A,N/A,N/A,0.48,N/A,28.30M,28.30M,0.91 - 2.50,"
</"
OVTI,Technology,Semiconductors,53.37,0.79,0.288,N/A,1.04,0.79,49.90M,53.88M,849.70M,11.82 - 21.11,"
</"
OXBT,Health Care,Biotechnology: Commercial Physical & Biological Resarch,N/A,N/A,N/A,N/A,N/A,21.54,N/A,33.20M,23.90M,0.52 - 3.20,"
</"
OXGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,1.21,62.28,N/A,1.71M,7.00M,0.31 - 6.00,"
</"
OXLC,,,N/A,N/A,N/A,14.37,N/A,N/A,N/A,N/A,N/A,13.49 - 16.80,"
</"
OXLCP,,,N/A,N/A,N/A,1.43,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
OZRK,Finance,Major Banks,16.43,2.44,2.21,1.49,2.52,5.74,N/A,35.27M,1.30B,27.83 - 37.19,"
</"
PAAS,Basic Industries,Precious Metals,10.73,1.65,1.632,1.01,0.96,2.99,370.90M,152.38M,2.69B,13.49 - 27.11,"
</"
PACB,Capital Goods,Biotechnology: Laboratory Analytical Instruments,N/A,N/A,N/A,N/A,1.08,4.28,N/A,56.15M,141.50M,1.06 - 5.27,"
</"
PACQ,,,N/A,N/A,N/A,N/A,9.68,N/A,N/A,4.89M,48.40M,9.52 - 12.11,"
</"
PACQU,Finance,Business Services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
PACQW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.11 - 0.75,"
</"
PACR,Transportation,Oil Refining/Marketing,45.22,2.19,0.09,N/A,1.21,0.1,13.70M,35.02M,141.50M,3.00 - 7.04,"
</"
PACT,Technology,Communication Equipment,14.39,0.43,0.558,N/A,1.54,1.28,37.20M,44.87M,350.40M,0.92 - 7.15,"
</"
PACW,Finance,Major Banks,17.85,1.28,1.54,2.87,1.67,3.22,N/A,35.72M,992.00M,20.74 - 27.95,"
</"
PAGG,,,N/A,N/A,N/A,1.04,N/A,N/A,N/A,N/A,N/A,25.80 - 32.67,"
</"
PAMT,,,N/A,N/A,N/A,N/A,7.31,227.12,N/A,6.41M,54.80M,0.00 - 0.00,"
</"
PANL,Capital Goods,Electrical Products,133.75,5.19,0.208,N/A,3.71,17.54,12.80M,46.49M,1.43B,21.55 - 48.07,"
</"
PATH,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.76M,52.70M,2.20 - 5.10,"
</"
PATK,Basic Industries,Forest Products,6.58,N/A,2.503,N/A,3.05,0.43,30.20M,10.68M,184.20M,5.13 - 20.33,"
</"
PATR,Transportation,Trucking Freight/Courier Services,31.43,3.22,0.82,N/A,1.39,1.91,28.90M,9.44M,244.80M,18.71 - 29.90,"
</"
PAYX,Consumer Services,Diversified Commercial Services,21.2,2.13,1.54,4.99,6.99,5.23,972.10M,363.72M,11.95B,29.12 - 34.70,"
</"
PBCP,,,771.82,N/A,0.011,N/A,0.93,2.78,N/A,3.08M,26.30M,0.00 - 0.00,"
</"
PBCT,Finance,Savings Institutions,17.11,1.67,0.72,5.19,0.83,3.51,N/A,339.97M,4.25B,11.20 - 13.58,"
</"
PBHC,Finance,Banks,12.07,N/A,0.87,1.14,0.94,1.54,N/A,2.51M,26.60M,8.01 - 10.25,"
</"
PBIB,Finance,Major Banks,N/A,N/A,N/A,N/A,0.31,1.28,N/A,12.00M,13.20M,0.62 - 2.68,"
</"
PBIP,Finance,Banks,28.48,N/A,0.27,N/A,1.24,4.79,N/A,9.67M,74.40M,5.16 - 7.45,"
</"
PBMD,,,N/A,N/A,N/A,N/A,3.22,79.38,N/A,35.54M,134.00M,0.00 - 0.00,"
</"
PBSK,,,28.02,N/A,0.509,1.12,0.73,4.28,N/A,3.10M,44.40M,11.00 - 14.99,"
</"
PCAR,Capital Goods,Auto Manufacturing,14.15,1.79,3.325,1.66,2.83,0.93,2.40B,353.04M,16.79B,35.21 - 48.75,"
</"
PCBK,Finance,Major Banks,15.93,1.18,0.69,4.28,1.07,3.64,N/A,17.84M,205.30M,8.23 - 11.08,"
</"
PCCC,Consumer Services,Catalog/Specialty Distribution,10.47,0.38,1.18,3.08,1.1,0.15,59.90M,26.51M,356.30M,7.34 - 12.90,"
</"
PCH,Consumer Services,Real Estate Investment Trusts,41.32,6.78,1.05,2.86,12.64,3.34,111.30M,40.39M,1.77B,28.02 - 44.51,"
</"
PCLN,Miscellaneous,Business Services,25.91,1.16,26.452,N/A,9.55,6.75,1.84B,49.86M,34.18B,527.38 - 774.96,"
</"
PCMI,,,33.86,0.96,0.197,N/A,0.7,0.05,23.70M,12.00M,79.20M,0.00 - 0.00,"
</"
PCO,,,5.16,N/A,0.283,N/A,0.98,13.62,N/A,250.74M,373.60M,0.96 - 2.80,"
</"
PCOM,Miscellaneous,Business Services,39.37,1.33,0.301,N/A,8.06,1.36,5.10M,15.09M,179.10M,8.47 - 13.51,"
</"
PCRX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,7.82,19.19,N/A,32.56M,676.50M,9.60 - 20.28,"
</"
PCTI,Technology,Radio And Television Broadcasting And Communications Equipment,N/A,2.2,N/A,1.62,1.12,1.57,4.90M,17.57M,134.60M,5.65 - 7.79,"
</"
PCYC,Consumer Durables,Major Pharmaceuticals,50.09,608.88,1.384,N/A,22.66,26.21,105.90M,69.80M,4.94B,17.82 - 71.91,"
</"
PCYO,Public Utilities,Water Supply,N/A,N/A,N/A,N/A,2.95,129.86,N/A,24.05M,80.80M,1.87 - 3.60,"
</"
PDCE,,,N/A,N/A,N/A,N/A,1.32,3.36,156.40M,29.57M,1.14B,0.00 - 0.00,"
</"
PDCO,Health Care,Medical Specialities,18.34,1.43,1.97,1.55,2.76,1.04,397.80M,103.72M,3.82B,30.45 - 36.96,"
</"
PDEX,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,0.78,0.5,N/A,3.32M,7.10M,1.18 - 3.05,"
</"
PDFS,Technology,EDP Services,28.56,0.85,0.526,N/A,5.78,5.24,17.90M,29.09M,446.80M,6.27 - 16.13,"
</"
PDII,Miscellaneous,Business Services,N/A,N/A,N/A,N/A,1.96,0.89,943.00K,14.95M,115.70M,5.84 - 8.88,"
</"
PDLI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5.08,0.33,1.353,8.72,N/A,2.66,339.90M,139.93M,962.70M,6.02 - 8.43,"
</"
PEBK,Finance,Major Banks,11.92,N/A,0.86,1.27,0.68,1.47,N/A,5.61M,58.90M,6.18 - 10.50,"
</"
PEBO,Finance,Major Banks,11.3,3.8,1.92,2.12,1.03,2.35,N/A,10.55M,229.80M,15.66 - 23.93,"
</"
PEGA,Technology,EDP Services,N/A,1.21,N/A,0.5,4.28,2.1,24.90M,37.89M,909.30M,19.00 - 39.97,"
</"
PEIX,Basic Industries,Major Chemicals,N/A,N/A,N/A,N/A,0.9,0.06,N/A,144.76M,55.01M,0.26 - 1.69,"
</"
PENN,Consumer Services,Hotels/Resorts,21.87,2.95,2.225,N/A,1.69,1.31,692.40M,76.40M,3.84B,37.00 - 51.98,"
</"
PENX,Consumer Non-Durables,Packaged Foods,N/A,2.69,N/A,N/A,1.46,0.28,23.70M,12.38M,102.10M,5.30 - 9.94,"
</"
PEOP,Finance,Banks,75.19,N/A,0.237,0.34,1.09,6.47,N/A,6.66M,119.10M,14.80 - 19.16,"
</"
PERF,Consumer Services,Other Specialty Stores,N/A,N/A,N/A,N/A,0.8,0.19,647.00K,15.33M,98.10M,4.13 - 10.81,"
</"
PERI,,,34.35,N/A,0.31,N/A,2.97,2.18,7.90M,10.04M,102.70M,3.68 - 13.10,"
</"
PERY,Consumer Non-Durables,Apparel,24.22,1.05,0.797,5.18,0.75,0.3,58.20M,14.66M,283.80M,15.32 - 23.28,"
</"
PESI,Basic Industries,Environmental Services,14.44,N/A,0.054,N/A,0.48,0.33,1.80M,56.14M,42.11M,0.63 - 1.90,"
</"
PETM,Consumer Services,Other Specialty Stores,20.28,1.04,3.226,0.97,6.08,1.08,838.60M,107.47M,6.88B,52.83 - 72.75,"
</"
PETS,Health Care,Medical/Nursing Services,15.9,2.96,0.82,4.6,4.2,1.12,27.20M,20.00M,258.20M,9.15 - 14.03,"
</"
PFBC,Finance,Regional - Pacific Banks,9.05,1.57,1.66,N/A,1.05,5.24,N/A,13.07M,208.80M,8.91 - 15.20,"
</"
